UI/UX,Programming,Operational,Data Science,Cybersecurity,Quality Assurance,Computer Network,Project Management,Product Manager,Entrepreneur,Business/Commerce/Ideation,Label
0.64,0.74,0.71,0.72,0.69,0.62,0.61,1.0,0.77,0.75,0.87,Project Management
0.95,0.92,0.92,0.72,0.63,0.76,0.67,0.88,0.74,0.99,0.86,Entrepreneur
0.7062844628020094,0.9747388277427024,0.8385964031598434,0.6805292127881223,0.6144736401441001,0.6466276817242345,0.7418585911097514,0.6626469585064803,0.644791540962143,0.6623914254261986,0.696408677255022,Programming
0.64,0.86,0.69,0.85,0.86,0.66,0.62,0.91,0.78,0.62,1.0,Business/Commerce/Ideation
0.85,0.61,0.93,0.71,0.88,0.75,0.7,0.7,0.91,0.74,0.94,Business/Commerce/Ideation
0.66,0.92,0.63,0.99,0.91,0.68,0.6,0.93,0.88,0.89,0.91,Data Science
0.75,0.79,0.76,0.75,0.69,0.83,0.88,0.7,0.9,0.9,0.93,Business/Commerce/Ideation
0.928270665550876,0.7582141988609254,0.7954120307441805,0.7896582947825332,0.6850141042604673,0.852818685706776,0.7596528962364056,0.7090181036447426,0.9153613709295352,0.7766472672167357,0.8116183459609072,Product Manager
0.66,0.82,0.88,0.86,0.69,0.88,0.69,0.73,0.9,0.86,0.94,Business/Commerce/Ideation
0.7079454429828244,0.9195092450315384,0.8935432429622429,0.7081750502322794,0.6430971097689254,0.6255776247127035,0.8410046578155915,0.9328906369095066,0.6917301277569123,0.6520475709640796,0.5928404434951604,Programming
1.0,1.0,0.9538469398589414,0.7519719840137122,0.681175096587237,0.8660308918896341,0.822182349757031,0.6765982474806577,0.7553141094411316,0.636141526149759,0.959536219591032,Programming
0.91,0.83,0.89,0.64,0.7,0.75,0.66,0.65,0.92,0.82,0.66,Product Manager
0.8778986908946065,0.8874571431454747,0.9984721185380048,0.5777341137308508,0.8005905143668466,0.8297274655234306,0.9539598126037556,0.6732197493608842,0.7226445644769526,0.7580930336539181,0.7758706963752162,Operational
0.9121667348758792,0.8478498958613261,0.8656423983192562,0.7986580644176122,0.8055360271896902,0.9540569444435816,0.711050198375722,0.9367609866203936,0.8477612533641374,0.8292155410044347,0.6558765900827391,Quality Assurance
0.8302264844356068,0.7657095451842946,0.819530406421606,0.7584974027915494,0.8936808939138584,0.8954344121565169,0.6443293969058947,0.9579783597409202,0.6652496261113967,0.6314423301949071,0.950986477018057,Business/Commerce/Ideation
0.6947895303212331,0.6695845282492172,0.595566532747647,0.7248016044677044,0.8621330685550447,0.8030670130788847,0.7341704380311046,0.9854896965447112,0.7681809584672369,0.7645406196534191,0.861923401796255,Project Management
0.6289174674925548,0.9120347338319348,0.9245668076612696,0.8032795473895905,0.8494853306227352,0.6792379756586984,0.8697215856800085,0.6422261389209378,0.7769298026332513,0.7385736653811804,0.8283919268081967,Operational
0.76,0.85,0.94,0.98,0.66,0.97,0.8,0.7,0.78,0.99,0.8,Entrepreneur
0.8778684849344017,0.8506711061709432,0.9364321814044112,0.9391363924154604,0.6483298408851818,0.7812615860409586,0.6393965669651218,0.7991905490762592,0.7775511550526971,0.9666005920102198,0.7462029348719813,Entrepreneur
0.74,0.9,0.75,0.9,0.97,0.9,0.62,0.91,0.72,0.67,0.88,Cybersecurity
0.7192745973820192,0.8025187716084484,0.8062908994756925,0.6895268142518067,1.0,0.9425823215965444,0.6836396106618922,0.9061108207230548,0.7537525125040502,0.947189810160559,0.9069897336772968,Cybersecurity
0.6336264755907896,0.8174775293860839,0.8821802306342563,0.6010368848076488,0.7322009321309608,0.6794598052040302,0.8850481881466495,0.952138484441602,0.9116942333354494,0.7512788970886515,0.9330894243312824,Business/Commerce/Ideation
0.75,0.98,0.89,0.84,0.66,0.66,0.62,0.95,0.84,0.88,0.61,Programming
0.66,0.81,0.76,0.74,0.96,0.61,0.87,0.99,0.82,0.97,0.62,Project Management
0.86,0.83,0.64,0.75,0.71,0.7,0.99,0.76,0.96,0.85,0.92,Computer Network
0.91,0.8,0.9,0.82,0.88,0.69,0.93,0.88,0.94,0.77,0.96,Business/Commerce/Ideation
0.8166963725290881,0.8143905235782244,0.8343860217076301,0.9200374457044546,0.844114168697901,0.6908479446798651,0.6289102016413156,0.6539390053897024,0.8522035943411863,0.6354445666627124,0.7519591753584588,Data Science
1.0,0.5916259281918294,0.8163702154548912,0.8549073157270757,0.778097528644826,0.5979479247343276,0.8057469952186127,0.6579558654679486,0.9593654783753868,0.8527254687016701,0.9700615932777036,UI/UX
0.89,0.69,1.0,0.99,0.86,0.68,0.87,0.63,0.61,0.7,0.79,Operational
0.7,0.83,0.8,0.67,0.9,0.64,0.82,0.94,0.69,0.92,0.8,Project Management
0.6674501253908316,0.6762321919712257,0.8710592072896348,0.8087541597383711,0.6682454126362342,0.6133553412150164,0.8928723266531987,0.6213565803403531,0.9319373376041444,0.8406725890775577,0.615425474078578,Product Manager
0.8978940141392889,0.6786452883194636,0.7504916143613483,0.9920251835300304,0.7114221792074021,0.7443122475393485,0.8584640650232186,0.7721284806800721,0.8346862795878879,0.9822221468956608,0.6586288341985767,Entrepreneur
0.6,0.75,0.87,0.83,0.9,0.97,0.87,0.87,1.0,0.94,0.68,Product Manager
0.7410829005967794,0.6740573509609391,0.8208563369763486,0.8698562363404548,0.5575251461000381,0.9483904437415712,0.6262648110910322,0.9011226197556576,0.7582850349564387,0.7742172992614322,0.9057080722828508,Quality Assurance
0.94,0.62,0.9,0.89,0.85,0.87,0.84,0.76,0.86,0.77,0.95,Business/Commerce/Ideation
0.77,0.68,0.91,0.99,0.85,0.68,0.98,0.73,0.68,0.86,0.71,Data Science
0.78,0.85,0.86,0.96,0.85,0.85,0.63,0.81,0.66,0.89,0.8,Data Science
0.7569731990172907,0.6921369901612656,0.6931671547749441,0.7118657706662327,0.7301722841441017,0.8959441890681856,0.8046597915769327,0.7756915601373245,0.6521591181749474,0.9752738884943464,0.9139431413179634,Entrepreneur
0.7,0.97,0.62,0.97,0.74,0.64,0.79,0.7,0.71,0.72,0.92,Data Science
0.72,0.61,0.78,0.82,0.7,0.82,0.88,0.62,0.92,0.8,0.82,Product Manager
0.95,0.83,0.61,0.97,0.88,0.87,0.69,0.86,0.76,0.86,0.64,Data Science
0.86,0.61,0.96,0.91,0.93,0.98,0.85,0.91,0.77,0.89,0.73,Quality Assurance
0.83,0.63,0.91,0.78,0.81,0.78,0.76,0.82,0.66,0.67,0.94,Business/Commerce/Ideation
0.7,0.87,0.72,0.81,0.82,0.67,0.99,0.91,0.98,0.96,0.84,Computer Network
0.99,0.86,0.84,0.92,0.9,0.78,0.79,0.77,0.79,1.0,0.7,Entrepreneur
0.8847595577870454,0.8812916666934529,0.8815471537654421,0.9065280992854864,0.8102764886708118,0.612060223015811,0.9619074979705584,0.7312025232004624,0.8660424844123942,0.7539747689304427,0.7831790864171323,Computer Network
0.9068412144087477,0.7921014188394441,0.9174671572665902,0.9428564486500716,0.5742186947050627,0.6778463008559036,0.886263760044599,0.6004538270994118,0.821839966750189,0.92199248564078,0.7937129450839684,Entrepreneur
0.6224327321553804,0.976646186862521,0.9442842516003044,0.967040840189456,0.9981225449711206,0.702495630142843,0.7469042883892494,0.8732650607892968,0.8480117920017431,0.6459695855698168,0.9617021917691824,Cybersecurity
0.7714249641230463,0.7990138015386716,0.8829659274122802,0.9045869737386656,0.8881520012404593,0.9853416905510062,0.6249025338247258,0.7059688530353839,0.593548249629069,0.9032441621028956,0.9486503639841324,Quality Assurance
0.9725093477581914,0.6684139693873492,0.969389710698872,0.8166975226756782,0.9068496935191592,0.7503671869529384,0.8858461985188353,0.8227202534745462,0.925813104672658,0.6549947035985922,0.5829528422382894,Operational
0.77,0.99,0.87,0.85,0.67,0.95,0.77,0.66,0.61,0.82,0.81,Programming
0.6129855350367805,0.7841788400607143,0.7781441924277411,0.801652372982211,0.9234916504152664,0.9124142175246251,0.6663381304666398,0.8223632618830481,0.6318106003217796,0.6892309903918697,0.7348704682244409,Quality Assurance
0.968001495752716,0.908937352276313,1.0,0.695082140425807,0.8897202746019356,1.0,0.7061526885065692,0.5839246331349325,0.8866274748050869,0.8740107444097643,0.9483288904998493,Operational
0.9845108662617704,0.7246636056663698,0.8529636387419764,0.8523409478875996,0.7219664125583547,0.7458110673820558,0.949054757091896,0.6961638586068974,0.7383646468945382,0.8458655465101016,0.8665536324418158,UI/UX
0.847565593665973,0.8607574569989055,0.8122586765753617,0.6729813788473161,0.779258868100684,0.9576187131047268,0.9263901102949366,0.9124825861047434,0.5854335764544274,0.6173311815868295,0.8191614561939463,Quality Assurance
0.8339056567202691,0.9483390887460288,1.0,0.5700871557657632,0.8042289688307672,0.850896134220316,0.9052017514659764,0.6375476937541444,0.7650512158217299,0.7693594878927752,0.7136067729374412,Operational
0.8959405353476161,0.945030830025844,0.621172064660527,0.7789626995048184,0.9034867669337238,0.7850762604922338,0.7836764543928695,0.805393493783472,0.6666533640726965,0.7431288493448717,0.7585325915798495,Cybersecurity
0.75,0.63,0.61,0.65,0.99,0.82,0.99,0.77,0.72,0.8,0.78,Computer Network
0.9735993431207752,0.8040215103195936,0.7725841072384447,0.8254919885366147,0.941088207113198,0.7763527973414464,0.6722089882234146,0.8824283170927242,0.9133746212568264,0.6067700359266209,0.7420106391353157,Cybersecurity
0.8906703025848397,0.8939598497001471,0.954831971266575,0.8948466727430386,0.8629962599192134,0.6521095418598969,0.9549865383350572,0.7293666821111775,0.7996356731964492,0.795578934050617,0.8261762874801255,Computer Network
0.94879896342034,0.8819653104894364,0.7600533952456245,0.8958628725437128,0.764927198533277,0.8723062600697724,0.7580891699282896,0.6352934141542201,0.7184823531263744,0.9131776820311568,0.9183361918785614,UI/UX
0.9179291326985808,0.6149104862938748,0.7425103881861633,0.9661139301982477,0.696745092778941,0.6593482404851388,0.9409452790512975,0.9020892503151818,0.7885539916628861,0.7362099324984059,0.6946791989551069,Data Science
1.0,0.9158495218538693,1.0,0.6631031252924349,0.8404570761495936,0.9814643312764382,0.6837560682050806,0.6225129079335056,0.9091787085334652,0.805617876500962,0.9709087068676288,Operational
0.64,0.92,0.6,0.75,0.93,0.94,0.84,0.93,0.67,0.74,0.82,Quality Assurance
